게임소프트웨어와서비스,담배,?판매업체,항공사,카드,레저용장비와제품,화장품,방송과엔터테인먼트,건강관리장비와용품,전자제품,무역회사와판매업체,생명과학도구및서비스,통신장비,석유와가스,상업서비스와공급품,백화점과일반상점,IT서비스,핸드셋,건강관리기술,가정용기기와용품,인터넷과카탈로그소매,음료,건축자재,교육서비스,기타금융,제약,가정용품,디스플레이장비및부품,출판,식품,"호텔,레스토랑,레저",건설,조선,건축제품,사무용전자제품,기타,인터넷소프트웨어와서비스,기계,도로와철도운송,부동산,반도체와반도체장비,손해보험,우주항공과국방,소프트웨어,신용평가서비스,종이와목재,자동차부품,비철금속,가스유틸리티,포장재,다각화된통신서비스,디스플레이패널,건강관리업체및서비스,"섬유,의류,신발,호화품",항공화물운송과물류,운송인프라,식품과기본식료품소매,에너지장비및서비스,컴퓨터와주변기기,광고,결제관련서비스,전문소매,복합유틸리티,전기유틸리티,증권,전기장비,전기제품,화학,문구류,복합기업,생물공학,독립전력생산및에너지거래,철강,생명보험,전자장비와기기,자동차,가구,무선통신서비스,창업투자,은행,해운사
액토즈소프트,,,,,,글로본,KNN,레이언스,토필드,,바이오톡스텍,빛샘전자,에이치엘비파워,,,인포뱅크,KJ프리텍,,,,,유니온,,,카테아,,케이피에스,,빙그레,,진흥기업,화인베스틸,뉴보텍,,코셋,,THE E&M,,,테스,,,케이사인,,,크린앤사이언스,풍산,,삼륭물산,,,,BYC,,,,,,,,,,,유안타증권,세명전기,삼성SDI우,WISCOM,,,오스코텍,,대동스틸,,디에이피,,,,,,
골프존뉴딘,,,,,,에이블씨엔씨,현대에이치씨엔,신흥,,,엠지메드,하이트론,,,,정원엔시스,솔루에타,,,,,노루홀딩스,,,에이프로젠제약,,아이씨디,,조흥,,대림산업우,현대중공업,남선알미우,,티에스아이,,동일금속,,,엑시콘,,,한컴MDS,,,세원정공,현대비앤지스틸,,대영포장,,,,성안,,,,,,,,,,,대신증권,제룡산업,피앤이솔루션,동방아그로,,,녹십자셀,,동양에스텍,,대동전자,,,,,,
골프존,,,,,,클리오,제이웨이,유앤아이,,,우정비에스씨,텔레필드,,,,다날,트레이스,,,,,에스와이패널,,,동화약품,,스킨앤스킨,,우성사료,,특수건설,에이치엘비,,,본느,,에스에프에이,,,어보브반도체,,,퓨전데이타,,,두올,쎄니트,,금비,,,,동일방직,,,,,,,,,,,한화투자증권,피앤씨테크,성문전자우,바이오빌,,,아이진,,현대제철,,바이오스마트,,,,,,
넵튠,,,,,,코스온,SBS미디어홀딩스,씨유메디칼,,,,코콤,,,,인포바인,알에프텍,,,,,홈센타홀딩스,,,종근당,,삼진엘앤디,,샘표식품,,동원개발,동방선기,,,시냅스엠,,태웅,,,시너지이노베이션,,,라온시큐어,,,KB오토시스,백광소재,,세하,,,,방림,,,,,,,,,,,유화증권우,제룡전기,성문전자,파미셀,,,서린바이오,,스틸플라워,,에스디시스템,,,,,,
네오위즈홀딩스,,,,,,아우딘퓨쳐스,덱스터,세운메디칼,,,,RFHIC,,,,수산아이앤티,덕우전자,,,,,삼표시멘트,,,이-글 벳,,토비스,,사조씨푸드,,고려개발,현대미포조선,,,두원석재,,대동공업,,,코미코,,,이니텍,,,S&T중공업,한창산업,,아세아,,,,토박스코리아,,,,,,,,,,,한국금융지주,대한광통신,피에스텍,크리스탈신소재,,,알테오젠,,동부제철,,씨엔플러스,,,,,,
조이시티,,,,,,코스메카코리아,iMBC,코렌텍,,,,이노인스트루먼트,,,,한일네트웍스,파트론,,,,,일신석재,,,유유제약1우,,파인테크닉스,,삼양사,,남화토건,한라IMS,,,비엔디생활건강,,디에스티로봇,,,이오테크닉스,,,이글루시큐리티,,,평화산업,포스코강판,,한국팩키지,,,,신세계인터내셔날,,,,,,,,,,,한화투자증권우,지트리비앤티,삼화콘덴서,KCI,,,한스바이오메드,,문배철강,,삼양옵틱스,,,,,,
조이맥스,,,,,,위노바,씨그널엔터테인먼트그룹,인트로메딕,,,,이노와이어리스,,,,브레인콘텐츠,삼우엠스,,,,,고려시멘트,,,대웅제약,,서울반도체,,대상홀딩스,,아이콘트롤스,한진중공업홀딩스,,,듀켐바이오,,삼영엠텍,,,SKC 솔믹스,,,핸디소프트,,,현대모비스,영풍,,동원시스템즈,,,,대원화성,,,,,,,,,,,미래에셋대우,,뉴인텍,NPC우,,,진원생명과학,,한국선재,,심텍홀딩스,,,,,,
액션스퀘어,,,,,,세화피앤씨,판타지오,아이센스,,,,암니스,,,,이루온,재영솔루텍,,,,,동원,,,대한약품,,영우디에스피,,크라운제과,,현대건설,중앙오션,,,선바이오,,나라엠앤디,,,리노공업,,,안랩,,,오리엔트바이오,풍산홀딩스,,,,,,아가방컴퍼니,,,,,,,,,,,삼성증권,,에스피지,NPC,,,프로스테믹스,,포스코엠텍,,대덕전자,,,,,,
선데이토즈,,,,,,오가닉티코스메틱,SBS콘텐츠허브,솔고바이오,,,,웨이브일렉트로,,,,아이지스시스템,에스코넥,,,,,아세아시멘트,,,대봉엘에스,,제이엠티,,남양유업우,,남광토건,STX엔진,,,삼성 레버리지 천연가스 선물 ETN,,스페코,,,코디엠,,,지니언스,,,화신,티플랙스,,,,,,화승인더,,,,,,,,,,,동부증권,,삼화전기,국도화학,,,신라젠,,경남스틸,,자화전자,,,,,,
플레이위드,,,,,,에스엔피월드,NHN벅스,디알텍,,,,에이스테크,,,,이씨에스,서원인텍,,,,,부산산업,,,대한뉴팜,,베셀,,사조산업,,신원종합개발,,,,자비스,,계양전기우,,,엠케이전자,,,닉스테크,,,넥센우,알루코,,,,,,아티스,,,,,,,,,,,메리츠종금증권,,엘앤에프,웹스,,,아미코젠,,삼현철강,,동진쎄미켐,,,,,,
